Date,Account Balance,Backtest ID,Risk
2024-09-24,10007.77,Test 25,"TP: 0.00, SL: 0.00"
2024-10-02,9988.49,Test 25,"TP: 0.00, SL: 0.00"
2024-10-07,9994.46,Test 25,"TP: 0.00, SL: 0.00"
2024-10-08,9998.87,Test 25,"TP: 0.00, SL: 0.00"
2024-10-17,10015.90,Test 25,"TP: 0.00, SL: 0.00"
2024-10-30,10022.32,Test 25,"TP: 0.00, SL: 0.00"
2024-11-05,9975.67,Test 25,"TP: 0.00, SL: 0.00"
2024-10-04,9995.11,Test 25,"TP: 0.00, SL: 0.00"
2024-10-22,10023.58,Test 25,"TP: 0.00, SL: 0.00"
2024-10-24,10015.15,Test 25,"TP: 0.00, SL: 0.00"
2024-09-23,10003.03,Test 25,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 25,"TP: 0.00, SL: 0.00"
2024-10-09,9998.87,Test 25,"TP: 0.00, SL: 0.00"
2024-10-15,10013.41,Test 25,"TP: 0.00, SL: 0.00"
2024-10-16,10013.41,Test 25,"TP: 0.00, SL: 0.00"
2024-10-21,10014.49,Test 25,"TP: 0.00, SL: 0.00"
2024-10-29,10017.73,Test 25,"TP: 0.00, SL: 0.00"
2024-09-26,9996.70,Test 25,"TP: 0.00, SL: 0.00"
2024-11-04,9975.67,Test 25,"TP: 0.00, SL: 0.00"
2024-11-06,10028.44,Test 25,"TP: 0.00, SL: 0.00"
2024-09-25,10007.05,Test 25,"TP: 0.00, SL: 0.00"
2024-10-11,10002.25,Test 25,"TP: 0.00, SL: 0.00"
2024-10-23,10023.58,Test 25,"TP: 0.00, SL: 0.00"
2024-10-31,10022.32,Test 25,"TP: 0.00, SL: 0.00"
2024-10-01,9995.83,Test 25,"TP: 0.00, SL: 0.00"
2024-10-14,10013.41,Test 25,"TP: 0.00, SL: 0.00"
2024-10-25,10015.15,Test 25,"TP: 0.00, SL: 0.00"
2024-11-01,9985.48,Test 25,"TP: 0.00, SL: 0.00"
2024-11-07,10051.54,Test 25,"TP: 0.00, SL: 0.00"
2024-11-08,10051.54,Test 25,"TP: 0.00, SL: 0.00"
2024-10-07,9992.91,Test 30,"TP: 0.00, SL: 0.00"
2024-10-25,10009.02,Test 30,"TP: 0.00, SL: 0.00"
2024-11-08,10049.02,Test 30,"TP: 0.00, SL: 0.00"
2024-11-01,9998.02,Test 30,"TP: 0.00, SL: 0.00"
2024-10-01,9997.78,Test 30,"TP: 0.00, SL: 0.00"
2024-10-08,9997.32,Test 30,"TP: 0.00, SL: 0.00"
2024-10-16,10013.07,Test 30,"TP: 0.00, SL: 0.00"
2024-10-18,10025.82,Test 30,"TP: 0.00, SL: 0.00"
2024-10-23,10011.06,Test 30,"TP: 0.00, SL: 0.00"
2024-10-09,10001.88,Test 30,"TP: 0.00, SL: 0.00"
2024-10-17,10021.20,Test 30,"TP: 0.00, SL: 0.00"
2024-10-24,10009.02,Test 30,"TP: 0.00, SL: 0.00"
2024-09-26,10009.18,Test 30,"TP: 0.00, SL: 0.00"
2024-09-27,10016.27,Test 30,"TP: 0.00, SL: 0.00"
2024-09-30,10007.66,Test 30,"TP: 0.00, SL: 0.00"
2024-10-03,9998.83,Test 30,"TP: 0.00, SL: 0.00"
2024-10-04,9993.55,Test 30,"TP: 0.00, SL: 0.00"
2024-10-31,10002.40,Test 30,"TP: 0.00, SL: 0.00"
2024-11-05,9998.02,Test 30,"TP: 0.00, SL: 0.00"
2024-10-11,10013.07,Test 30,"TP: 0.00, SL: 0.00"
2024-10-21,10025.82,Test 30,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 30,"TP: 0.00, SL: 0.00"
2024-10-15,10013.07,Test 30,"TP: 0.00, SL: 0.00"
2024-11-06,10044.49,Test 30,"TP: 0.00, SL: 0.00"
2024-11-07,10044.49,Test 30,"TP: 0.00, SL: 0.00"
2024-09-25,10004.53,Test 30,"TP: 0.00, SL: 0.00"
2024-10-02,9997.78,Test 30,"TP: 0.00, SL: 0.00"
2024-10-10,10006.36,Test 30,"TP: 0.00, SL: 0.00"
2024-10-22,10016.67,Test 30,"TP: 0.00, SL: 0.00"
2024-11-04,9998.02,Test 30,"TP: 0.00, SL: 0.00"
